#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,2,2,2,,2,,,,
A-2,A,2,,2,1,,,,,,-2
A-3,A,3,2,,,-1,(7),(6),-2,,
A-4,A,4,1,1,1,,,,(10),(34),INC
A-5,A,5,,1,,,2,(5),(16),(25),
B-1,B,1,,,,,,-2,,,
B-2,B,2,,,,,4,,(19),,
B-3,B,3,2,1,1,-2,(11),,(17),(46),
B-4,B,4,,1,,,,,(15),,2
B-5,B,5,,2,,,,INC,,,(23)
C-1,C,1,1,,,2,,-1,(17),,
C-2,C,2,,2,,,,-2,,,1
C-3,C,3,,,(1),1,,,,,2
C-4,C,4,,1,-1,1,,INC,,(47),
C-5,C,5,1,,,,(7),,(16),(30),
D-1,D,1,3,6,-1,,,,,,
D-2,D,2,2,5,,-2,,,-3,,1
D-3,D,3,2,3,(1),,(8),,-3,3,
D-4,D,4,,1,-2,,,INC,INC,,INC
D-5,D,5,1,1,-1,,,,INC,(45),QT
E-1,E,1,4,6,,,(6),3,,-8,-1
E-2,E,2,4,6,,2,2,,-4,-4,
E-3,E,3,,6,-1,,2,3,INC,-1,INC
E-4,E,4,3,5,,,,(12),-3,,-2
E-5,E,5,2,4,,,,(15),,INC,
F-1,F,1,3,4,,1,,(13),12,(42),
F-2,F,2,1,,,,,,,,5
F-3,F,3,(-2),(-2),(15),(-5),(31),,,QT,(15)
F-4,F,4,(20),(20),(-4),(20),,QT,QT,,QT
F-5,F,5,,8,8,,,,QT,,INT15
