#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,57,17,DEF 5,3,60,DEF 15,1
11,46,30,OFF 15,17,DEF 15,DEF 5,1
12,52,17,43,3,OFF 15,5,1
13,61,25,35,7,19,38,1
14,50,40,67,8,25,42,1
15,54,19,35+,25,40,21,1
16,50,25,,3,F +3,2,1
17,41,DEF 15,DEF 15,12,19,OFF 15,1
18,51,17,41,3,25,5,1
19,51,15,50+,12,25,19,1
20,OFF 5,,47+,3,60,41,0
21,63,OFF 15,OFF 5,DEF 15,25,OFF 5,1
22,66,22,45+,12,30,32,1
23,70,35,58,7,12,40,1
24,70,25,44,-1,TD,BK -13,-4
25,70,30,53+,-4,,30,1
26,68,19,51+,3,4,36,1
27,58,45,40,14,,38,1
28,55,25,43+,3,,14,1
29,51,17,12,3,40,NG,1
30,57,12,58+,9,60,30,1
31,60,15,39+,,,1,1
32,56,25,48,2,,39,1
33,62,18,38,OFF 15,,18,1
34,65,21,45,F,1,33,1
35,69,24,30+,1,21,30,1
36,59,23,50,,,35,1
37,64,25,46,,35,12,1
38,53,20,62+,11,60,31,1
39,51,F +26,BK -18,17,25,27,1
