#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,43,13,53,12,25,OFF 5,1
11,70,DEF 15,51,DEF 15,19,OFF 15,1
12,51,,58+,60,6,36,1
13,53,15,43+,10,25,9,1
14,OB,OFF 15,OFF 15,4,18,30,1
15,33,25,41,9,2,DEF 5,1
16,54,40,47,35,F +8,27,1
17,45,21,70,40,19,DEF 15,1
18,37,10,DEF 5,35,19,BK -12,-4
19,51,24,BK -12,10,TD,6,1
20,62,18,51+,24,30,20,0
21,46,24,48+,8,40,18,1
22,66,20,37,23,6,2,1
23,57,25,36+,6,15,5,1
24,59,12,50,7,,37,1
25,65,30,40,5,,35,1
26,68,4,33,6,30,12,1
27,63,22,54,21,40,30,1
28,62,50,62+,12,19,24,1
29,67,25,37+,60,25,NG,1
30,47,23,OFF 5,3,30,14,1
31,52,25,34+,8,DEF 15,36,1
32,56,22,54+,F,OFF 15,34,1
33,50,F +16,46+,OFF 15,8,32,1
34,60,25,40+,,2,35,1
35,64,19,43,4,18,32,1
36,69,25,39,-3,22,31,1
37,55,23,32+,8,8,27,1
38,61,21,DEF 15,18,30,8,1
39,26,16,37+,40,25,32,1
