#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,64,TD,OFF 5,6,10,DEF 5,1
11,24,22,BK -9,10,DEF 15,DEF 15,1
12,OFF 5,,32,1,3,OFF 5,1
13,41,-2,OFF 15,OFF 15,1,38,1
14,33,DEF 15,49,45,5,41,1
15,36,F +7,42*,6,12,1,1
16,61,35,32*,4,9,BK -6,-4
17,38,60,DEF 5,9,TD,OFF 15,1
18,66,45,38,,25,2,1
19,52,22,55*,9,10,7,1
20,66,14,36*,14,18,29,0
21,63,17,52,9,3,22,1
22,45,30,37,5,35,35,1
23,64,21,DEF 15,DEF 15,10,NG,1
24,58,7,39,10,2,25,1
25,60,19,43*,5,10,NG,1
26,53,40,49*,6,21,NG,1
27,69,60,34*,4,18,5,1
28,68,3,50,45,1,20,1
29,63,60,40,6,12,9,1
30,61,45,51*,1,25,40,1
31,50,OFF 15,44,F +1,F +18,12,1
32,55,20,40,F,2,33,1
33,62,23,52*,10,OFF 10,30,1
34,56,18,47,,,32,1
35,59,25,42,,,39,1
36,67,24,45*,,6,33,1
37,57,15,45,6,,15,1
38,65,45,57*,14,9,19,1
39,70,60,54,6,2,30,1
