#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,69,17,49,OFF 15,3,31,
11,OB,33,26*,13,35,23,
12,61,28,23*,15,,DEF 5X,
13,64,F + 23,20*,19,13,29,
14,52,3,35,13,8,40,
15,64,8,46,,7,41,
16,64,30,60,14,OFF 15,28,
17,64,9,45,F,,19,
18,53,11,47,7,OFF 15,16,
19,55,13,35*,,22,32,
20,64,29,55,F,14,OFF 10,NG
21,75,4,57,11,3,F - 7,NG
22,57,38,51,19,18,DEF 5,
23,60,24,39,12,22,24,
24,66,19,44,6,24,17,
25,68,22,32*,5,28,15,
26,70,25,43,OFF 15,5,30,
27,58,34,41,4,15,22,
28,64,27,53,15,1,OFF 5,
29,OB,OFF 15,48,,14,19,
30,64,17,DEF 5,3,35,16,
31,50,24,OFF 5,9,21,33,
32,65,20,36*,8,OFF 15,18,
33,62,13,38*,2,13,20,
34,56,23,37*,1,,25,
35,59,19,39*,9,,25,
36,69,22,40,7,65,21,
37,51,OFF 15,50,10,15,26,
38,64,14,DEF 5X,1,3,27,
39,63,15,OFF 15,13,18,BK -4,
