#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,65,28,BK -8,,,OFF 5,
11,66,21,OFF 10,38,-2,OFF 10,
12,69,2,54,18,,DEF 5,
13,71,F + 8,40,21,,BK -8,
14,51,OFF 15,47,4,64,30,
15,65,OFF 15,41,2,12,23,
16,68,OFF 15,38*,OFF 15,,24,
17,50,12,DEF 5X,,,20,
18,60,F + 28,38*,,,DEF 5X,
19,63,12,7*,3,25,31,
20,64,10,37*,42,26,26,
21,64,19,55,5,16,25,
22,72,,30*,9,,27,
23,58,35,44,7,,15,
24,54,18,25*,1,19,28,
25,53,24,49*,OFF 15,5,29,
26,52,7,31*,13,,13,
27,63,33,OFF 5,71,26,21,
28,OB,17,57,10,,36,
29,62,23,DEF 5,9,OFF 15,14,
30,62,33,46,OFF 15,,24,
31,61,25,43*,F - 2,OFF 15,33,
32,60,16,35*,,25,16,
33,57,34,45*,6,24,31,
34,56,14,48*,15,38,35,
35,55,22,27*,11,31,32,
36,59,20,32*,,26,22,
37,64,27,52,19,TD,10,NG
38,48,26,42,,7,9,
39,49,11,F - 12,27,OFF15,18,
