#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,44,30,44*,14,30,OFF 5,1
11,40,21,OFF 15,TD,DEF 15,OFF 15,1
12,OB,19,58*,50,OFF 15,40,1
13,53,17,34*,1,30,10,1
14,67,5,50*,6,TD,DEF 5,1
15,70,45,43,4,25,31,1
16,56,25,36*,35,F +3,24,1
17,41,19,F -7,DEF 15,30,37,1
18,46,13,DEF 5,17*,30,DEF 15,1
19,67,35,BK -9,OFF 15,30,NG,1
20,52,22,62*,30,60,42,0
21,62,15,44,25,30,21,1
22,61,35,53*,14,25,34,1
23,70,10,32*,2,19,15,1
24,66,30,39,OFF 15,13,BK -5,-4
25,68,13,27*,5,18,30,1
26,63,22,52,17,,43,1
27,58,18,30,10,30,35,1
28,55,17,37*,60,25,41,1
29,49,23,16*,25,30,39,1
30,59,DEF 15,49,,60,NG,1
31,54,OFF 15,DEF 15,,5,4,1
32,60,25,47,,19,28,1
33,62,F +13,41*,,6,22,1
34,65,20,46*,7,,32,1
35,69,19,38*,-2,,36,1
36,64,25,48,15,25,20,1
37,57,14,46,3,7,16,1
38,70,23,12,F +1,30,8,1
39,50,24,OFF 5,21,25,NG,1
