#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,33,25,28*,4,2,NG,1
11,37,8,OFF 15,DEF 15,22,DEF 5,1
12,57,7,OFF 5,OFF 15,OFF 15,BK -18,-4
13,67,25,47,4,25,OFF 5,1
14,66,22,33*,1,4,32,1
15,70,25,57,60,25,33,1
16,55,35,20*,F +2,F +8,DEF 15,1
17,44,DEF 15,BK -18,4,23,OFF 15,1
18,38,17,45*,4,25,4,1
19,54,25,31,TD,25,DEF 15,1
20,59,50,DEF 5,3,14,33,0
21,68,25,32*,7,16,23,1
22,60,OFF 15,46,-2,2,19,1
23,52,19,40,14,30,34,1
24,OB,15,34*,15,15,32,1
25,70,30,43,F +2,40,20,1
26,57,F +7,43*,30,14,11,1
27,70,25,35,5,25,25,1
28,51,12,20,16,16,13,1
29,45,25,58*,4,27,30,1
30,67,23,47*,2,24,29,1
31,64,14,DEF 15,6,DEF 15,3,1
32,70,22,40,3,7,10,1
33,62,18,24*,9,4,15,1
34,65,21,53,2,,31,1
35,69,24,38*,,,32,1
36,58,23,31*,,,27,1
37,70,25,51,11,21,9,1
38,56,16,51*,6,4,21,1
39,47,25,26,4,2,NG,1
