#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,50,40,DEF 5,5,30,OFF 5,1
11,44,DEF 15,OFF 15,DEF 15,DEF 15,OFF 15,1
12,OB,1,37,-4,OFF 15,DEF 15,1
13,70,35,38*,5,10,1,1
14,52,20,F -18,2,11,28,1
15,61,,40,3,12,33,1
16,49,F +12,23*,5,F +7,23,1
17,66,50,OFF 5,3,11,DEF 5,1
18,54,21,25,5,21*,35,1
19,68,19,38,3,12,NG,1
20,46,60,27*,,4,29,0
21,65,17,43*,,23,32,1
22,63,15,55*,,6,BK -10,-4
23,53,OFF 15,49,,10,38,1
24,60,22,33*,10,30,24,1
25,64,25,47,9,4,10,1
26,54,24,12,F,6,NG,1
27,44,19,45*,-6,11,30,1
28,42,55,39*,3,,2,1
29,67,20,70*,5,24,6,1
30,55,14,36*,3,12,31,1
31,45,25,51,5,30,NG,1
32,58,16,48,1,,36,1
33,57,12,54,OFF 15,,15,1
34,56,8,44,2,,21,1
35,59,30,41*,-1,,26,1
36,62,25,33,4,,4,1
37,25,19,DEF 15,3,30,9,1
38,69,17,39,F,22,34,1
39,51,18,BK -7,5,12,7,1
