#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,2,,,1,,(9),,,(10)
A-2,A,2,2,,,2,-4,,,8,
A-3,A,3,1,1,,,-5,,,,4
A-4,A,4,,,,,-1,,INC,,2
A-5,A,5,1,1,-2,2,INC,2,INT14,QT,
B-1,B,1,-1,-1,,,,,(18),,
B-2,B,2,,-1,,,-1,,,,
B-3,B,3,,,,,-3,,,(37),(16)
B-4,B,4,-1,-2,2,,,INC,,,
B-5,B,5,,,,1,INC,INC,(20),,5
C-1,C,1,,,-1,4,-3,,,,
C-2,C,2,1,,-2,4,-5,,,,
C-3,C,3,2,,,,-3,INC,(19),,
C-4,C,4,,2,-1,1,INC,,,(38),(15)
C-5,C,5,,2,-1,2,,,(16),,(20)
D-1,D,1,4,,-1,2,-5,,,-4,
D-2,D,2,2,4,,2,,,-3,,
D-3,D,3,2,,(1),,-5,-2,-3,INC,
D-4,D,4,,,-2,,-1,-1,INC,,1
D-5,D,5,1,2,-1,1,INC,INC,INC,INT 30,(16)
E-1,E,1,4,5,,3,-3,,2,INC,-2
E-2,E,2,3,4,,2,-5,,,-6,
E-3,E,3,2,,-1,,,(4),,-5,
E-4,E,4,2,2,,2,-1,,INC,INC,
E-5,E,5,1,1,,1,,(1),,INT 25,
F-1,F,1,4,,,,,,,QT,1
F-2,F,2,4,2,,7,10,(13),,,
F-3,F,3,(-2),(-2),(12),(-5),1,(10),(24),(50),(17)
F-4,F,4,(20),(19),(-4),(20),,QT,QT,,
F-5,F,5,4,,-1,,INC,INT 9,QT,INC,QT
