#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,57,45,DEF 5,9,16,OFF 5,1
11,33,DEF 15,OFF 15,DEF 15,TD,DEF 5,1
12,47,22,DEF 15,2,OFF 15,BK -12,-4
13,66,30,46*,7,20,36,1
14,46,,50*,8,21,OFF 15,1
15,OFF 5,OFF 15,52*,10,17,25,1
16,43,30,37*,4,23,32,1
17,39,25,OFF 5,9,25,20,1
18,58,25,26*,3,35,DEF 15,1
19,50,30,34*,4,25,11,1
20,48,23,57*,7,F +6,19,0
21,42,40,45*,5,35,27,1
22,68,25,46,-1,3,22,1
23,70,F +22,48*,9,22,37,1
24,57,15,36,3,10,31,1
25,60,45,33*,20,8,4,1
26,62,25,42,OFF 15,14,NG,1
27,54,11,53,14,23,10,1
28,45,25,F -18,2,25,14,1
29,55,30,62*,,15,NG,1
30,40,35,58,7,24,12,1
31,51,25,42*,11,DEF 15,27,1
32,58,45,47,3,9,30,1
33,53,19,40,F,30,27,1
34,56,21,44,,,33,1
35,59,24,41,,,35,1
36,64,18,45*,3,,22,1
37,54,35,33,5,30,8,1
38,49,12,42,25,16,NG,1
39,52,30,BK -13,4,20,13,1
