#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 10,7,,DEF 15,OFF 5,9,INT 13,48,28,20,27,R
11,1,OFF 15,DEF 5,5,OFF 10,2,QT,41,20*,13,-3,R
12,4,DEF 15,DEF 5X,OFF 10,OFF 10,8,OFF 5,52,DEF 5X,13,-4,R
13,3,F + 4,5*,OFF 5,18,OFF 10,OFF 10,OFF 10,OFF 10,27,10,R
14,DEF 5,OFF 5,-3,2,-1,DEF 5X,INT 15,60,6*,11,18,R
15,OFF 5,6,-5,9*,7,INT 10,22,DEF 5,16,22,22,R
16,5,OFF 10,OFF 5,DEF 5,15,7,DEF 5X,OFF 5,OFF 5,16,-5,R
17,3,8,OFF 15,5,9,DEF 5,11,DEF 5X,7,10,-13,R
18,4,DEF 5X,OFF 10,3,13,OFF 5,INT 17,TD,24,19,-8,R
19,OFF 15,-1,F + 13,OFF 15,72,TD,QT,PI 32,68,11,-6,R
20,F - 1,-2,9*,4,16,4,16,20,INT 7,18,-12,R
21,5,6,8,7,-8,1,10,INT 24,25,39,-6,R
22,B,1,F,8,DEF 5,OFF 10,15,25,3*,29,16,R
23,5,7,7,F,3,8,19,OFF 10,10,12,11,R
24,6,,2,B,QT,QT,QT,QT,QT,17,-9,R
25,3,2,5*,,11*,QT,QT,QT*,QT,33,-8,R
26,9,6,-2,2,4,9,12,QT,OFF 10,19,F - 10,R
27,-1,5,5,1,-7,8,19,QT,5,56,-8,R
28,F - 2,F - 3,-1,-1,8,4,17,INT 26,PI 11,20,-11,R
29,DEF 15,8,5*,3,TD,9,PI 19,QT,13,12,-14,R
30,1,B,1,4,-1,6,13,BLACK,21,10,-10,R
31,8,2,9,2,,7,OFF 10,BLACK,9*,11,8,R
32,,3,B*,-2,5*,9,21,BLACK,QT,23,-7,R
33,7,6,6,4,6*,5,18,BLACK,BLACK,12,9,L
34,6,B,*,B,BLACK,BLACK,BLACK,BLACK,BLACK,24,-2,L
35,3,-1,3,6,BLACK,BLACK,BLACK,BLACK,BLACK,14,5,L
36,5,5,4,3,BLACK,2,BLACK,21*,BLACK,26,4,L
37,B,4,B*,-3,OFF 10,9,QT,28,BLACK,10,1,L
38,6,9,-1,1,F + 6,3,DEF 5,37,BLACK,15,2,L
39,-3,DEF 15,9,2,OFF 15,PI 7,14,32,DEF 5,11,33,L
