#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,18*,-3*,DEF 15,OFF 5,DEF 5,10,INC,7,23,5,R
11,OFF 5,DEF 15,OFF 5,OFF 5,-5,OFF 5,DEF 15,OFF 10,F +4,26,15,R
12,OFF 10,7,DEF 5,-2,5*,OFF 10,30,29,DEF 15,23,4,R
13,DEF 5,5,F +1,14,7,-4,25,20*,4*,28,9,R
14,F -1,-3,5,1,8,20,13,INT 23,QT,21,2,R
15,8,OFF 5,OFF 10,11*,2,DEF 15,20*,50,OFF 10,27,11,R
16,6,F +6,12,-1,18,,INT 11,DEF 5,DEF 5,28,12,R
17,13,1,4,OFF 10,2,-3*,DEF 5,DEF 15,7*,26,3,R
18,-5,OFF 10,DEF 15,DEF 5,DEF 15,PI 9,PI 13,PI 27,5*,22,7*,R
19,3,16,3,10*,-3,30,QT,20,PI 7,TD,-7,R
20,1,10*,,-3,-5*,-7,18*,27,7,26,2,R
21,3,-2,13*,2,-1,7*,15,30,QT,29,4,R
22,1,DEF 5,-6*,6,9,2,OFF 10,QT,8*,26,-12,R
23,10,,-2,13,3,6,OFF 5,QT,INC,28,F +2,R
24,2,3,,1,QT,QT,QT,INC,14*,27,5,R
25,1,2,1,-3,INC,4,17,INC,11*,29,5,R
26,3,11,-1*,6,INC,8,11,QT,3*,28,3*,R
27,1,1,8*,4,5,10,INC,QT,QT,21,13*,R
28,16*,8,6*,5,8*,7,INC,25*,5*,26,-10*,R
29,B,B,10,10,DEF 5,F +3,40,F +31,7,26,-5,R
30,7,6,9,5,7,9,14*,INT 34,OFF 5,21,-3,R
31,3,4,7,2,17,INT 5,16,QT,INC,22,3,L
32,2,5,1,4,F +5,INC,QT,INC,INC,23,17,L
33,,2,3*,3,-5,INC,INC,INC,INC,24,-9,L
34,4,3,2,-3,INC,INC,INC,INC,INC,20,-11,L
35,5,4,4,6,INC,INC,INC,INC,INC,25,-6,L
36,-2,2,6,10,OFF 10,INC,INC,INC,INC,22,-10,L
37,2,13,16,12,19,13,20,QT,OFF 10,24,-8,L
38,3,9,-5,5,-1,18,INT 15,20,1,20,-4,L
39,18*,6,1,F +2,9,25,F +16,OFF 5,7*,22,8,L
