#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,56,13,49,8,7,OFF 5,1
11,46,DEF 15,59,23,DEF 15,29,1
12,50,20,OFF 15,30,OFF 15,25,1
13,66,F +22,37,3,F +8,14,1
14,65,OFF 15,38,25,3,43,1
15,52,25,DEF 5,1,21,DEF 5,1
16,70,40,OFF 5,21,25,BK -7,-4
17,47,13,38*,7,16,OFF 15,1
18,51,3,39*,,8,NG,1
19,68,14,42*,TD,TD,NG,1
20,59,60,DEF 15,30,25,25,0
21,55,19,41,1,3,40,1
22,70,35,32*,-1,7,24,1
23,62,22,BK -6,5,25,31,1
24,67,23,48*,10,40,BK -13,-4
25,64,25,41*,1,7,41,1
26,70,19,34*,15,8,31,1
27,57,15,63*,60,16,27,1
28,68,55,57*,8,25,22,1
29,53,14,43*,3,,DEF 15,1
30,58,35,64,F,16,42,1
31,61,10,42,DEF 15,21,11,1
32,63,23,53*,12,8,39,1
33,OB,22,31,OFF 15,11,16,1
34,65,21,44,,,32,1
35,69,24,50,,,34,1
36,60,25,27*,7,,30,1
37,54,17,53,F,,7,1
38,70,25,50*,1,25,9,1
39,49,3,16*,24,3,35,1
