#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,DEF 15,OFF 15,DEF 15,DEF 15,F +3,25,DEF 15,8*,40,1*,R
11,OFF 15,OFF 15,F -8,F +3,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,45,,R
12,F,F -3,-3*,OFF 5,OFF 15,DEF 15,18,30,OFF 15,53,1,R
13,F +1,DEF 5,-5,6,15,2*,14*,OFF 15,1*,29,-8,R
14,2,7,1*,,5*,9,OFF 15,20*,5,60,F -7,R
15,1,4,6,,30,3*,DEF 5,30,4*,22,-12,R
16,B,-6,DEF 5,1,2,B,18,20,30*,29,2,R
17,-3,-2,B,OFF 15,10,2,F +17,40*,F +6,TD,,R
18,12,15,DEF 15,DEF 5,F +2,PI 7,30,F +26,2*,54,2,R
19,1,-4,-8,6,15*,-2,TD,30,PI 4,29,-7,R
20,9*,11,16*,1,25,INT 5,15*,PI 22,30*,47,-11,R
21,5,8,2,10*,9,14,QT,20,8,22,F -6,R
22,3,5,OFF 5,2,25,INC,DEF 15,50,30*,29,-8,R
23,2,,2,1,9,INC,13,20,2*,20,-7,R
24,6,6,3,-3,-1,INC,QT,INC,QT,21,-10,R
25,1,2,-6,4,QT,OFF 15,INT 14,INC,QT,28,-3,R
26,7,5,7*,3,2,QT,INC,INC,30*,20,-7,R
27,5,14*,13,10,30,DEF 5,17*,25,1,51,F -4,R
28,-4,10,10,6,INC,15*,15,20,8*,42,-7*,R
29,13*,3,8,6,9,-8,40,TD,DEF 15,49,-11*,R
30,18,1,B,-3,16,8,19,INT 36,5,22,-14,R
31,OFF 5,OFF 5,-2,10,6,11,11,QT,3*,25,-6,R
32,4,-1,9*,4,INC,6,INC,INT 29,DEF 5,23,-9,L
33,,,4*,8,INC,7,INC,QT,15*,52,-8,L
34,1,3,5,-2,INC,INC,INC,INC,INC,24,-7,L
35,3,1,,-1,5,INC,INC,INC,INC,27,-8,L
36,-1,2,12,4,DEF 5,10,INC,INC,INC,26,-4,L
37,DEF 5,4,-1,8,10,4,20,QT,15*,25,-5,L
38,8,B,2,6,9*,5,16,25*,4*,50,-2,L
39,7,9,-4*,10,6,17,PI 11,DEF 5,3*,44,-7,L
