#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,52,-3,31*,1,25,DEF 15,1
11,40,DEF 15,BK -11,DEF 15,15,OFF 15,1
12,50,,DEF 15,F +8,F +6,BK -12,-4
13,44,19,OFF 15,7,3,37,1
14,57,30,45,18,,NG,1
15,70,21,42*,25,30,41,1
16,58,8,DEF 5,10,OFF 15,40,1
17,49,11,58,7,25,DEF 5,1
18,55,60,54,9,15,39,1
19,47,TD,50*,TD,,27,1
20,63,6,39,,1,25,0
21,65,60,48*,8,15,OFF 5,1
22,56,OFF 15,44,55,3,5,1
23,OFF 5,20,49,-2,7,2,1
24,60,13,41,,20,30,1
25,59,15,OFF 5,-2,1,26,1
26,67,25,35*,1,15,25,1
27,50,19,36,-5,25,28,1
28,61,5,60,14,15,14,1
29,44,22,42,8,25,3,1
30,47,17,51*,9,15,6,1
31,51,23,40*,21,DEF 15,28,1
32,62,25,53,14,3,30,1
33,70,F +25,24*,OFF 15,7,28,1
34,53,18,51,3,,33,1
35,54,25,33*,6,30,34,1
36,64,19,37*,10,20,22,1
37,70,30,20*,5,1,17,1
38,69,24,30,1,25,19,1
39,48,45,50*,-3,15,NG,1
