#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,54,19,41*,4,25,BK -14,-4
11,41,20,28*,4,25,29,1
12,61,19,36*,3,50,21,1
13,54,6,49*,4,25,DEF 15,1
14,52,25,42*,25,22,DEF 5,1
15,52,F +13,OFF 5,2,11,OFF 15,1
16,OFF 5,19,DEF 15,4,OFF 15,25,1
17,45,25,46*,3,35,27,1
18,53,30,38*,4,25,OFF 5,1
19,53,20,BK -12,7,TD,19,1
20,64,20,DEF 5,10,19,NG,0
21,53,25,36*,12,15,38,1
22,57,12,43,10,19,33,1
23,60,OFF 15,32*,1,8,NG,1
24,66,13,41*,,17,34,1
25,68,25,39*,11,12,17,1
26,70,30,44,7,30,4,1
27,58,35,54,8,25,20,1
28,54,30,40*,-4,F +7,9,1
29,53,20,OFF 15,4,25,28,1
30,64,40,41,18,11,10,1
31,50,35,42,DEF 15,DEF 15,NG,1
32,65,25,43*,OFF 15,40,13,1
33,62,15,37*,6,15,14,1
34,56,22,33*,-1,,32,1
35,59,23,26*,-2,,36,1
36,69,25,38,F +2,,31,1
37,51,40,35,F,35,NG,1
38,48,30,46,13,23,26,1
39,63,DEF 15,62*,3,25,6,1
