#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,OFF 15,DEF 15,DEF 5,DEF 15,OFF 5,DEF 5,OFF 15,DEF 15,TD,-7,R
11,DEF 15,-1,OFF 5,DEF 15,DEF 5,OFF 15,INT 15,OFF 5,OFF 15,22,-7,R
12,DEF 5,DEF 15,DEF 5,OFF 5,OFF 5,DEF 15,11,DEF 15,OFF 5,26,-8,R
13,7,4,B,-1,-4,-3,25,INT 23,11*,27,-9,R
14,OFF 5,7,3,OFF 15,OFF 15,2,PI 17,50,4*,31,2*,R
15,4,B,1*,2,F +3,7,19*,25,8,20,4,R
16,5,F,18,1,-1,18,15,20*,19*,27,-7,R
17,13*,4,F -7,B,-4,-6,30,INT 26,9*,25,-8*,R
18,12,DEF 5,2,5,-1,DEF 5,16,DEF 5,DEF 5,26,-8,R
19,3,-6,-8*,-1,-4,PI 6,20,INT 39,PI 8,27,-7,R
20,10*,8,8*,F +4,3*,QT,16,50,17*,31,-7,R
21,6,12,14*,4,2,,F +16,INT 35,4*,36,-5,R
22,F +1,OFF 5,-6*,1,15*,4,13,25,8*,37,-8,R
23,2,2,OFF 15,11,30,6,INC,30,9*,38,-9,R
24,5,5,-4,-2,-1,9,INC,QT,QT,30,-10,R
25,2,3,,-3,4,5,20,30,INT 16,39,-5,R
26,-2,9,,12*,-4,INT 4,12,25,INT 3,32,-7,R
27,8,16*,7,2,1,30,OFF 15,40*,12,24,-12,R
28,6,8,10,3,-1,F -2,16,INT 20,18*,29,-8,R
29,4,4,15,5,-4,8,20,F +27,F +7,25,-7,R
30,6,-2,12,5,QT,5,DEF 15,INC,INC,33,-11,R
31,,6,5,-4,-2,8,QT,INC,INC,35,-14,R
32,,4,9,4,QT,11*,14,INC,INC,21,-2,R
33,4,2,3,B,INC,10,OFF 5,INC,INC,22,-10,R
34,1,,4*,,INC,INC,INC,INC,INC,20,F -9,L
35,3,1,2,,INC,INC,INC,INC,INC,24,-6,L
36,2,3,6,,INC,INC,INC,INC,INC,23,-9,L
37,1,6,-1,5,-2,3,17,INC,INC,34,-13,L
38,4,5,-2*,3,1,16*,15*,INC,INC,28,-7,L
39,B,4,-10,-1,-1,14,13,PI 32,INC,29,-8,L
