#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,2,,2,2,,3,1,-6,
A-2,A,2,2,,,,2,,,-4,
A-3,A,3,,1,,,15,INC,,,-6
A-4,A,4,1,,2,1,,,,INC,-2
A-5,A,5,1,1,,1,INC,INT 6,(20),,
B-1,B,1,,,-2,,,-2,,,
B-2,B,2,-2,-1,(-1),,3,,(20),,
B-3,B,3,,(1),,2,20,-3,(19),,
B-4,B,4,,-2,,,,,,(35),(18)
B-5,B,5,,,-1,,INC,INC,,(37),(10)
C-1,C,1,,,,3,7,,,,
C-2,C,2,,-1,,3,,3,,,
C-3,C,3,,,(1),,4,INC,(17),,
C-4,C,4,2,-1,-1,1,,,,,(12)
C-5,C,5,1,,,,INC,,(15),(25),(9)
D-1,D,1,2,,,3,7,,1,-4,
D-2,D,2,2,,,3,5,,,,
D-3,D,3,1,1,,,,,,INC,-2
D-4,D,4,,1,,1,,,INC,,-2
D-5,D,5,2,2,1,,INC,INT 9,INC,QT,
E-1,E,1,3,1,3,6,5,,,INC,-1
E-2,E,2,3,1,3,5,6,,-1,-6,-4
E-3,E,3,2,1,2,7,1,(4),INC,-5,
E-4,E,4,1,,2,,,,,INC,INC
E-5,E,5,1,,1,1,(25),,QT,INT 28,
F-1,F,1,3,,,,12,15,,,
F-2,F,2,1,2,,7,20,8,,,4
F-3,F,3,(-2),(-2),(15),(-5),,,QT,QT,(13)
F-4,F,4,(20),(19),(-4),(20),,QT,(35),(40),QT
F-5,F,5,1,,4,,INC,QT,,(50),INT18
