#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,58,45,DEF 5,15,4,OFF 5,1
11,39,DEF 15,OFF 15,DEF 15,DEF 15,31,1
12,53,21,50*,21,OFF 15,DEF 15,1
13,45,25,48,-7,4,OFF 15,1
14,62,17,23*,9,20,OFF 5,1
15,66,45,48*,10,10,34,1
16,57,22,43,2,F +8,BK -20,-4
17,43,30,36*,,4,32,1
18,66,30,28*,3,4,39,1
19,68,30,BK -18,2,TD,17,1
20,54,24,37*,2,21,8,0
21,42,23,41*,,18,36,1
22,OFF 5,25,45,5,30,46,1
23,67,20,32,8,23,NG,1
24,61,25,32*,F +5,13,32,1
25,63,30,40,15,10,33,1
26,30,25,34,4,25,15,1
27,56,24,49*,1,24,28,1
28,58,30,41*,13,,23,1
29,57,30,39*,12,4,25,1
30,68,21,OFF 5,25,22,5,1
31,65,OFF 15,DEF 15,F +2,4,27,1
32,62,17,38,12,11,30,1
33,30,F +35,43*,OFF 15,15,37,1
34,60,19,46*,7,,40,1
35,64,9,27*,10,,44,1
36,30,25,42,3,,41,1
37,69,15,55,17*,1,6,1
38,59,22,34*,4,11,21,1
39,48,30,40*,1,4,35,1
