#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,72,28,30*,OFF 15,,,
11,55,27,27*,18,-1,,
12,63,41,31,13,3,17,
13,66,11,53,OFF 15,TD,14,NG
14,64,18,DEF 5,,,27,
15,56,11,DEF 5X,24,,15,
16,69,21,33,,,OFF 15,
17,52,29,26*,,,19,
18,75,24,32*,,,21,NG
19,69,F + 41,OFF 10,1,OFF 15,31,NG
20,52,13,45,DEF 15,4,OFF 5,NG
21,53,10,35,4,DEF 15,23,
22,OB,OFF 15,OFF 5,OFF 15,OFF 15,DEF 5,
23,57,40,39,10,10,15,
24,70,16,38*,-1,19,22,
25,51,22,40*,8,17,20,
26,62,F + 14,51,2,1,12,
27,59,60,44,5,,16,
28,65,OFF 15,50,13,,DEF 5X,
29,55,26,28*,,,24,
30,54,25,43,18,,11,
31,64,31,49,,,10,
32,54,17,41,9,22,36,
33,57,23,42*,3,27,BK -5,
34,64,15,37*,7,29,5,
35,64,20,29*,7,,31,
36,64,19,36*,,20,18,
37,60,33,52,,,13,
38,58,49,34*,F,OFF 15,32,
39,64,DEF 15,60,3,2,OFF 5,
