#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,20,30,36*,-8,18,OFF 5,1
11,38,DEF 15,OFF 15,8,DEF 15,29,1
12,70,25,51,9,OFF 15,BK -30,-4
13,51,23,39,-7,17,DEF 15,1
14,OB,OFF 15,38*,OFF 15,11,OFF 15,1
15,61,7,56,DEF 15,2,DEF 5,1
16,58,30,53,3,60,NG,1
17,43,30,19*,8,18,24,1
18,36,30,59,14,60,2,1
19,56,20,22,8,TD,NG,1
20,52,30,44*,9,18,39,0
21,58,,42*,14,13,22,1
22,62,30,OFF 5,8,14,17,1
23,57,25,40*,3,12,4,1
24,65,20,BK -14,5,8,34,1
25,68,20,39*,F,3,38,1
26,55,F +7,DEF 15,F -3,,20,1
27,63,F +32,37*,10,,40,1
28,59,30,58*,,F +3,7,1
29,26,30,32,8,17,12,1
30,67,45,41,15,11,8,1
31,41,22,36,1,21,28,1
32,69,14,34*,-1,13,33,1
33,53,25,29,-3,6,25,1
34,60,21,46,1,,30,1
35,64,24,37,,,30,1
36,66,18,47*,,,36,1
37,54,25,49,7,,15,1
38,50,16,32*,3,11,1,1
39,56,30,DEF 5,8,17,21,1
