#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,59,34,BK -11,8,16,19,
11,52,81,53,,DEF 15,OFF 10,
12,56,11,DEF 5X,10,OFF 15,34,
13,51,7,20*,12,21,14,
14,58,27,OFF 10,DEF 15,,11,
15,50,5,49,9,3,13,
16,68,93,48,16,-1,32,
17,53,30,51,12,,DEF 5X,
18,57,16,28*,10,,DEF 5,
19,DEF 5,43,46*,,21,40,
20,66,97,31*,12,9,36,
21,58,29,40,F,19,7,
22,67,22,38,3,,15,
23,44,OFF 15,41,23,,BK -15,
24,OB,13,43,7,27,24,
25,61,17,42,6,,23,
26,48,DEF 15,DEF 5,-1,44,12,
27,66,24,30*,10,14,17,
28,52,14,33*,4,16,OFF 5,
29,51,26,26*,-2,,27,
30,46,OFF 15,47,OFF 15,,16,NG
31,62,19,35*,OFF 15,27,42,
32,56,32,37*,,,25,
33,40,16,39*,8,4,29,
34,58,21,OFF 5,16,21,30,
35,59,15,40,5,44,35,
36,64,18,36*,7,,26,
37,42,8,44,6,-1,41,
38,65,F + 11,50,12,OFF 15,20,
39,53,,40,10,,31,
