#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,42,25,DEF 15,12*,7,OFF 5,1
11,53,20,OFF 15,DEF 15,35,OFF 15,1
12,25,50,DEF 5,-5,20*,9,1
13,64,DEF 15,44*,9,9,44,1
14,66,45*,46,F +3,30,BK -3,-4
15,60,20,38,7,25,BK -7,-4
16,50,18,33*,5,35,BK -12,-4
17,54,25,BK -7,,21,DEF 5,1
18,60,TD,24*,4,25,DEF 15,1
19,64,F +2,60*,8*,TD,39,1
20,51,40*,37*,15,14*,19,0
21,52,60,60*,9,7,13,1
22,OFF 5,30,OFF 5,40,OFF 15,29,1
23,55,25,39*,,16,22,1
24,57,25,44,3,,42,1
25,58,30,46*,4,,23,1
26,48,25,53*,12*,DEF 15,33,1
27,68,20,42,11,21,17,1
28,70,F +12,40,17,11*,36,1
29,42,20,39,4,9,NG,1
30,46,20,42,10,16,11,1
31,57,65,41,OFF 15,F +30,26,1
32,61,22,27*,8,20,28,1
33,62,OFF 15,49,F,12,22,1
34,56,21,31,,30,32,1
35,59,23,43*,2,10,31,1
36,63,24,53,7,14,40,1
37,58,20,49*,6,4,20,1
38,52,19,42,4,19*,41,1
39,64,20*,36,11,11,30,1
