#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,10*,-4,OFF 5,OFF 5,18,20,30*,DEF 5,DEF 15,29,F -8,R
11,DEF 15,DEF 15,DEF 5,12,7,DEF 15,OFF 5,DEF 15,OFF 15,30,-8,R
12,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 5,QT,20,4,41,16,R
13,1,3,14,-2,1,6,OFF 15,OFF 15,10,28,-8,R
14,DEF 5,OFF 5,-4,9,7,9,20,30*,INT 6,25,4,R
15,1,F +5,,-5,17,8,17*,QT,PI 9,40,13,R
16,OFF 5,,-8*,-1,DEF 5,-4,10,25,4*,32,18,R
17,1,4,-2*,-1,8,DEF 5,DEF 5,50,OFF 5,39,20,R
18,B,B,DEF 15,F +1,OFF 5,5*,40*,OFF 5,DEF 5,43,-7,R
19,11*,4,10,-1,20,30,INC,25,3*,TD,-12,R
20,1,5,-5*,-2,5*,18,INC,QT,4,42,8,R
21,7,12,11,5,QT,10,13*,QT,3*,49,9,R
22,4,DEF 5,5*,3,QT,5,15,PI 26,INT 22,26,5,R
23,1,8,3,11,OFF 15,7,18,INT 23,10*,29,11*,R
24,-1,-1,-1,-6,OFF 5,QT,QT,INT 30,7*,21,F -6,R
25,3,2,-3,1,DEF 15,6,QT,QT,20*,28,-6,R
26,6,7,5,10*,DEF 15,OFF 15,11,40,PI 16,46,7,R
27,1,-2,7*,7,7,12*,16,20,4*,35,6,R
28,8,9,18*,-1,5,14,19,25*,3*,47,-7*,R
29,14,13*,-10,-2,F +3,F +7,F +12,F +30,F +7,37,-8,R
30,9,6,2*,5,19*,11,INT 15,QT,QT,25,10,R
31,3,4,3,9,1,2,14,INC,QT,27,-14,R
32,1,2,6,DEF 5,20,INT 6,INC,INC,QT,23,-7,R
33,2,3,2,DEF 15,20,INC,INC,INC,INC,27,-11,L
34,5,1,8,3,INC,INC,INC,INC,INC,20,-10,L
35,,,1,10,INC,INC,INC,INC,INC,24,-9,L
36,,5,4*,2,INC,INC,INC,INC,INC,22,-13,L
37,2,3,F +1,-5,INC,4,DEF 15,INC,4*,26,-12,L
38,1,4,B,7,5,8,12,INC,INC,44,-2,L
39,F,16*,1*,-2,8,PI 5,PI 11,INC,3,34,-7,L
