#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,47,25,DEF 5,-2,25,OFF 15,1
11,55,DEF 15,OFF 5,DEF 15,DEF 15,OFF 5,1
12,65,14,BK -26,3,OFF 15,F -18,1
13,36,,49,-1,16,28,1
14,58,30,DEF 15,5,35,22,1
15,OFF 5,22,27,-4,35,DEF 5,1
16,69,35,9*,-1,F +6,31,1
17,47,2,OFF 15,-3,35,19,1
18,67,25,53*,-2,30,DEF 15,1
19,52,24,48*,-3,35,33,1
20,54,40,38*,-1,24,30,0
21,62,45,51,-4,35,31,1
22,66,OFF 15,50*,,,29,1
23,53,25,39,9,21,34,1
24,61,F +18,33,,,23,1
25,56,15,46*,,,2,1
26,68,25,43*,,,20,1
27,70,25,32*,,,26,1
28,67,19,37*,,,24,1
29,67,25,41*,,,NG,1
30,54,25,44*,,,BK -15,-4
31,70,22,53,F,30,33,1
32,70,17,24*,F -1,16,6,1
33,57,23,44,OFF 15,22,15,1
34,60,18,42,5,25,32,1
35,64,20,33*,3,30,26,1
36,59,30,47,-5,16,NG,1
37,68,25,26*,5,25,8,1
38,63,21,37,-1,35,30,1
39,,25,45*,-2,,10,1
