#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 15,OFF 15,DEF 5,1,DEF 15,OFF 15,F +13,F +24,F +6,32,2,R
11,DEF 5,18,-10,DEF 5,OFF 15,25,INC,DEF 15,INC,51,9,R
12,-3,DEF 15,,OFF 15,INC,DEF 15,DEF 15,25,20,30,14,R
13,1,13*,OFF 5,DEF 15,14*,8*,OFF 15,30,4*,53,4,R
14,OFF 5,5,1*,F +1,-2,6,OFF 5,DEF 5,OFF 5,31,5,R
15,-2,7,3,7*,-1,OFF 5,INT 11,INT 28,6,23,7*,R
16,2,4,7,3,13,DEF 5,DEF 5,30,20*,34,11,R
17,3,-3,DEF 15,OFF 5,OFF 5,40,20*,40,10*,56,4,R
18,DEF 15,DEF 5,-3*,2,DEF 5,8,PI 18,OFF 15,OFF 15,37,,R
19,-6,9,14,1,13,PI 4,INT 17,30,PI 4,TD,8*,R
20,6,4,15*,2,-1,F +1,25,25*,20*,39,12,R
21,-1,,3,3,-2,3,QT,QT,10*,38,10*,R
22,,8,OFF 15,,-7,INC,INC,QT,INC,23,1,R
23,,OFF 5,-1,,QT,11,QT,INC,4*,29,-6,R
24,4,6,4,7,-8,QT,QT,QT,QT,21,17,R
25,1,,11*,4,-7,10,QT,QT,QT,24,22,R
26,7,F -1,F -2,2,-8*,2,OFF 5,OFF 5,20*,29,-8,R
27,3,2,10,5,13,7,11,50,QT,57,2,L
28,13*,-1,18,2,-2,QT,18,30,20*,55,-1,L
29,B,10,-2*,3,F+2,18,40,TD,DEF 5,52,-4,L
30,1,F +3,9*,4,14,9,15*,20,10,50,6,L
31,F +1,1,5,-3,-1,8,13,INT 42,OFF 5,25,-10,L
32,3,4,1,7,-7,INC,INC,INC,INC,20,F -5,L
33,2,2,6*,1,QT,INC,INC,INC,INC,26,-2,L
34,5,3,2,-1,INC,INC,INC,INC,INC,27,-3,L
35,2,1,3,-2,INC,INC,INC,INC,INC,28,-9,L
36,3,5,8,5,INC,INC,INC,QT,INC,22,-5,L
37,4,2,4,-3,-20,5,20,QT,6*,25,-7,L
38,8,4,B,3,-1,INT 6,14,QT,20*,26,-4,L
39,18,12,-8*,-4,13,20,12*,PI 27,DEF 15,35,-6*,L
