#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,62,35,DEF 5,25,14,OFF 5,1
11,66,DEF 15,DEF 15,2,DEF 15,DEF 5,1
12,39,TD,OFF 15,-6,F+5,9,1
13,50,30,59*,7,OFF 15,25,1
14,59,55,38*,OFF 15,OFF 15,20,1
15,61,12,45*,60,25,11,1
16,40,9,22*,10,30,8,1
17,52,5,OFF 5,4,2,OFF 15,1
18,62,35,53*,8,40,DEF 15,1
19,49,30,BK -12,,40,17,1
20,43,40,45*,7,35,36,0
21,70,14,30,25,40,30,1
22,51,OFF 15,46,OFF 15,3,37,1
23,56,21,43*,-2,5,10,1
24,57,17,35*,,17,28,1
25,58,60,43,8,5,28,1
26,49,,39*,F -6,2,2,1
27,70,35,37,17,30,32,1
28,53,30,49*,10,,5,1
29,68,55,65,9,40,BK -8,-4
30,63,35,45,6,35,34,1
31,OB,25,48,DEF 15,,23,1
32,65,F +13,40*,13,,28,1
33,67,19,57*,3,,22,1
34,60,22,36*,1,,35,1
35,64,25,32*,7,,22,1
36,69,15,41,9,,31,1
37,44,24,26*,1,14,17,1
38,70,30,40,15,25,11,1
39,55,50,F -18,13,3,NG,1
