#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,1,,-1,,(9),-7,
A-2,A,2,,,1,(2),,,(4),-12,
A-3,A,3,(4),,1,(1),,,,,
A-4,A,4,,(5),,(2),-4,,BLACK,(20),
A-5,A,5,,,,,,,,,[TD]
B-1,B,1,,,1,,-1,,7,,
B-2,B,2,(2),(2),1,(3),,,(17),,
B-3,B,3,(1),(1),1,(2),,,(17),,
B-4,B,4,,(1),,,-6,,,[TD],
B-5,B,5,,,,,,,,[TD],
C-1,C,1,,1,(3),,-1,(6),,,(1)
C-2,C,2,,1,(3),,,,,,(2)
C-3,C,3,(4),1,,(4),,,1,1,(1)
C-4,C,4,,,,11,,,,(35),
C-5,C,5,,,,,,,[TD],,INT 13
D-1,D,1,,1,,,-1,(3),(3),,
D-2,D,2,,1,3,,,(2),(7),,
D-3,D,3,(5),1,,(8),,,,,
D-4,D,4,,(13),,,(0),,,(28),
D-5,D,5,,,,,,,,,10
E-1,E,1,,,,1,,(7),(12),,(9)
E-2,E,2,,,,3,,,(11),BLACK,
E-3,E,3,,,,,,,,INT 32,
E-4,E,4,,,,(5),,,-10,-20,
E-5,E,5,2,,,,,,,(10),4
F-1,F,1,,,(8),,(20),,-10,QT,-10
F-2,F,2,-5,(5),-7,,,[TD],5,QT,
F-3,F,3,,,-8,10,,8,5,BLACK,
F-4,F,4,,10,-11,,,4,-10,[TD],-10
F-5,F,5,,,,,,1,,QT,[TD]
