#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,OFF 10,DEF 15,DEF 5,DEF 15,30,DEF 5,F +19,F +27,F +8,41,11,R
11,F +1,7,DEF 15,DEF 5,DEF 15,OFF 5,20,OFF 5,DEF 15,55,6,R
12,1,OFF 5,1,OFF 5,-4*,-4,PI 15,PI 38,PI 5,42,4*,R
13,DEF 5,F +6,14,7*,4*,DEF 15,QT,DEF 5,OFF 5,54,20,R
14,OFF 5,OFF 10,2,OFF 10,OFF 5,OFF 10,14,30,30,52,7,R
15,5,18*,5,-1,-2,10,13,QT,7*,22,9*,R
16,6,8,B,6,5,,DEF 5,QT,QT,47,12,R
17,7,-4,10*,F +2,3,F +2,25,40,11*,TD,10,R
18,-5,DEF 5,-6*,6,-1,25,QT,30,25*,48,11,R
19,6,13,7,7,17,PI 6,13,50,20*,50,4*,R
20,12*,12,1,6,18,11*,DEF 15,25,4,45,12,R
21,3,5,F -2,4,F +5,17,OFF 5,DEF 15,OFF 10,53,10,R
22,1,B,OFF 10,6,DEF 5,2,17,OFF 10,DEF 5,30,8,R
23,-2,9,-2,5,40,4,QT,QT,QT,32,-4,R
24,2,4,-1,-1,OFF 10,8,QT,INT 23,INC,21,-8,R
25,1,3,3*,B,INC,QT,INC,QT,INC,23,-14,R
26,,,OFF 5,5,INC,INC,INC,INC,QT,35,F -9,R
27,,,15,6,1,INC,OFF 10,INC,25*,25,F -4,R
28,8,-2,1*,7*,19,6,INT 16,50,5,39,-7,L
29,DEF 15,2,,8,-2,14,19*,30,6*,27,-5*,L
30,B,-1,,7,2,6,14*,25,2*,37,-10,L
31,6,4,-4*,4,QT,3,15,INT 27,20*,21,-3,L
32,2,6,11*,9,9,4,INC,QT,INC,40,-7,L
33,3,2,7,-1,QT,5,INC,INC,INC,22,5,L
34,4,1,6,2,INC,INC,INC,INC,INC,20,-9,L
35,5,3,8,1,INC,INC,INC,INC,INC,24,-11,L
36,2,5,9,5,INC,INC,INC,INC,INC,49,-6,L
37,3,2,4,7,3,9,16,INC,12*,23,-2,L
38,9,-2,B,6,-1,7*,13*,30,3*,29,-13,L
39,18*,16,18*,7,17,INT 2,12,20,6*,46,-12*,L
