#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,DEF 5,50,53*,37,OFF 15,31,
11,52,25,50,10,15,11,
12,67,31,27*,12,OFF 15,DEF 5X,
13,54,19,30*,21,28,29,
14,62,OFF 15,OFF 5,,5,24,
15,65,OFF 15,DEF 5,,13,17,
16,67,40,DEF 5X,9,6,10,
17,55,50,OFF 10,-2,,6,
18,59,25,45*,,,33,
19,54,15,46,1,TD,33,NG
20,61,18,28*,12,34,28,NG
21,59,9,54,2,F + 29,DEF 5,
22,63,DEF 15,24*,F,37,19,
23,50,8,51,14,12,28,
24,OB,11,41,OFF 15,68,25,
25,53,26,40,8,62,23,
26,51,17,42,DEF 15,2,22,
27,67,12,44,12,9,34,
28,68,53,29*,68,1,OFF 10,
29,55,31,39*,19,58,30,
30,56,20,32*,15,27,18,
31,50,24,41,6,14,21,
32,57,27,39,,23,26,
33,64,F + 13,43,8,,35,
34,60,23,40,11,21,20,
35,64,13,38,6,,22,
36,58,32,46,,16,27,
37,55,6,34*,1,33,33,
38,69,3,31*,OFF 15,DEF 15,OFF 5,
39,54,1,BK -10,35,,32,
