#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,5,8,DEF 5,B,OFF 5,DEF 5X,19,PI 42,33,13,F - 2,R
11,2,5,5,B,OFF 15,5,OFF 5,INT 25,DEF 5,19,-12,R
12,2,OFF 5,7,B,15,OFF 5,35,INT 33,38,17,F - 10,R
13,OFF 5,F + 1,9,6,10,OFF 10,PI 19,QT,6,25,-13,R
14,8,-3,5,5,OFF 10,DEF 5,15,QT,26,10,-4,R
15,-1,4,OFF 5,4,6,7,DEF 5,OFF 5,25,27,-11,R
16,3,4,7,OFF 5,12,5,27,INT 27,39,77,-14,R
17,-3,2,OFF 15,DEF 5,22,3,DEF 5X,38,DEF 15,16,-3,R
18,DEF 15,DEF 15,DEF 15,OFF 10,INT -1,10,QT,TD,23,15,-1,R
19,OFF 10,DEF 5X,DEF 5X,DEF 15,DEF 15,PI 3,DEF 15,TD,16,11,-8,R
20,9,4,2*,7,13,7,23,TD,PI 16,34,-13,R
21,7,8,F - 3,5,8,8,14,DEF 5,17,16,-3,R
22,B,3,2,3,4,11,INT 18,25*,19,14,-6,R
23,3,1,B*,-2,17,12,OFF 10,40*,9*,19,-8,R
24,5,,B*,-3,F,5,13,OFF 10,12*,11,-7,R
25,5,6,*,9,,2,24*,26*,OFF 10,10,-9,R
26,DEF 5,2,-1,B,3,5,14,39,21,32,-10,R
27,-2,8,6,F,9,7,13,37,14,12,-5,R
28,2,-2,5,6,11,3,17,45,35,55,22,R
29,5,OFF 10,7,5,40,12,19,40,2,17,2,R
30,1,9,-8,8,7,6,21,QT,QT,10,1,R
31,3,2,8,4,1,2,16,QT,16*,23,4,L
32,5,4,4,1,4,5,19*,,DEF 5X,11,-12,L
33,4,1,1,,,,,,,14,-9,L
34,,3,,2,,,,,,,13,-10,L
35,5,B*,3,8,-2,1,17*,,16,12,-9,L
36,6,5,5*,-1,2,7,22,25,INT 11,15,-13,L
37,F,-1,4,2,5,5,41,33*,15,20,-7,L
38,4,7,-4,4,DEF 5,10,11,PI 31,OFF 5,11,,L
39,DEF 5,DEF 5,1,5,DEF 5,10,DEF 5X,DEF 5X,OFF 5,13,2,L
