#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,48,30,DEF 15,4,21,OFF 5,1
11,53,DEF 15,OFF 5,DEF 15,DEF 15,44,1
12,38,15,OFF 15,9,OFF 15,28,1
13,70,,42*,3,10,DEF 15,1
14,65,60,48,OFF 15,15,DEF 5,1
15,69,10,36*,4,3,OFF 15,1
16,46,35,52,-2,45,1,1
17,48,40,48*,3,20,35,1
18,58,20,DEF 5,4,15,BK -7,-4
19,56,,BK -12,3,10,36,1
20,56,16,40,,14,5,0
21,OFF 5,35,60,4,4,30,1
22,OFF 5,24,F -15,F +1,45,NG,1
23,61,F +21,39,OFF 15,24,NG,1
24,57,25,36,-4,F +7,31,1
25,63,20,44*,,7,17,1
26,53,19,49,6,18,38,1
27,66,35,56*,4,14,7,1
28,58,15,23*,3,15,8,1
29,59,37,42,4,14,34,1
30,58,45,54,3,10,43,1
31,51,12,50*,60,4,24,1
32,55,25,34*,1,,3,1
33,62,OFF 15,40*,5,,23,1
34,60,30,37*,8,,32,1
35,64,17,30,10,,42,1
36,52,25,32*,2,,20,1
37,54,21,28*,3,20,15,1
38,68,15,37,13,,12,1
39,54,2,46*,3,3,21,1
