#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,OFF 10,OFF 5,F +4,-1,PI 4,F +13,DEF 15,PI 6,30,19,R
11,OFF 5,DEF 5,DEF 5,OFF 5,OFF 5,2*,OFF 5,30,DEF 5,37,6,R
12,-3,9,OFF 10,DEF 5,1,F +9,20,50,8,26,1,R
13,9,OFF 5,5,7,-1,8*,INC,OFF 5,DEF 15,35,-12*,R
14,DEF 5,-2,7*,12,13*,OFF 10,DEF 5,20,OFF 10,31,11,R
15,2,5,4,5,DEF 5,DEF 15,OFF 10,30,QT,38,-8,R
16,-1,-3,DEF 15,OFF 10,2*,-2,QT,DEF 5,7,28,13*,R
17,OFF 10,-1,10,DEF 15,DEF 15,QT,DEF 15,40,15*,32,7,R
18,B,DEF 15,B,-2,1,-5,10*,PI 22,2,39,15,R
19,3,-3,11,11,-1,25,40,DEF 5,5*,35,-2,R
20,10*,10*,F -5,12,1,INT 8,11,30*,5,28,,R
21,6,1,9,6,-6,DEF 5,17*,50,9*,26,-6,R
22,8,,-6*,2,OFF 10,INC,13,OFF 10,OFF 5,25,-9,R
23,3,4,2,7,7,QT,INT 14,QT,2*,27,F -5,R
24,2,6,1,2,INC,4,QT,QT,INT 12,23,F -13,R
25,3,5,,,INC,10,15,QT,QT,23,-13,R
26,,F +3,8,,2,3,12,INT 33,17*,29,-5,R
27,5,F -1,5*,12,8,13,25,20,15*,33,-1,R
28,15*,7,-10,10,-1,12*,14,40*,5*,26,-8,R
29,1,18*,-2,11*,1,15,PI 13,F +28,F +8,30,-10,R
30,6,3,4*,9,-6,1,QT,INC,20*,34,-7,R
31,F,8,,6,QT,OFF 5,QT,INC,16*,36,-12,L
32,1,4,3,2,F +8,7,INC,INC,INC,22,-8,L
33,,2,6,4,QT,9,INC,INC,INC,21,-11,L
34,2,1,-3,-2,INC,INC,INC,INC,INC,20,-10,L
35,1,3,-1*,2,INC,INC,INC,INC,INC,24,-9,L
36,4,12,1,11,3,INC,INC,INC,INC,22,-7,L
37,3,,12,5,-4,5,19,QT,9*,21,-4,L
38,5,2,4*,12,8,6,16*,QT,20*,28,-14,L
39,6,B,13,12,-4,14,30,QT,5*,33,9,L
