#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,1,,,13,,,,(10)
A-2,A,2,,1,,,,,,,
A-3,A,3,,,,(-1),,,,,4
A-4,A,4,2,2,1,-3,,(8),inc,(30),2
A-5,A,5,1,,1,-2,inc,,QT,INT 28,
B-1,B,1,-1,1,,(-1),17,,(18),,(18)
B-2,B,2,,1,,,,,,,
B-3,B,3,(1),,-1,-3,,-1,,(50),
B-4,B,4,-1,2,,,2,INC,,,(22)
B-5,B,5,,,,-2,INC,,(20),,(28)
C-1,C,1,,1,-1,,,INC,,,(15)
C-2,C,2,-1,1,,,11,,,,1
C-3,C,3,,,(1),(1),,2,(19),,
C-4,C,4,-2,2,-2,-3,,,,(46),(25)
C-5,C,5,,,,-1,INC,INT 5,(16),(33),3
D-1,D,1,2,3,,-1,5,,,,
D-2,D,2,,3,,-1,7,,,,(16)
D-3,D,3,1,,(1),-1,,,,,3
D-4,D,4,1,1,-1,,1,(10),,QT,
D-5,D,5,,,,,INC,,INC,(34),
E-1,E,1,5,6,1,,6,7,,-7,
E-2,E,2,4,5,,1,5,6,,-6,
E-3,E,3,,1,,,2,6,INC,-4,(17)
E-4,E,4,2,1,-1,,,,,,
E-5,E,5,1,3,-1,,(15),,,INT 30,
F-1,F,1,,1,,,,,,,(20)
F-2,F,2,1,2,,(-5),(17),,,(48),
F-3,F,3,(-2),(-2),(12),,(20),(17),(24),QT,
F-4,F,4,(20),(20),(-4),(18),,QT,QT,INC,(43)
F-5,F,5,2,,6,,INC,,(TD),(TD),INT12
