#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 15,12*,18,F +3,DEF 15,DEF 15,PI 14,DEF 15,5*,20,-5,R
11,OFF 15,DEF 15,OFF 15,DEF 5,-2,DEF 5,20,OFF 5,DEF 5,21,2,R
12,10*,-4,OFF 5,DEF 15,OFF 5,OFF 5,OFF 5,40,DEF 15,24,9,R
13,-2,-1,,OFF 5,14,6*,20*,OFF 15,OFF 5,20,10,R
14,2,-6,-5*,OFF 15,11,11,DEF 15,20,OFF 15,22,9,R
15,2,-2,2,11,9,-3,16*,QT,QT,24,1,R
16,6,15*,3,6,-5,OFF 15,DEF 5,QT,17*,20,2*,R
17,DEF 5,OFF 15,-1,9,13,,15,DEF 5,5*,23,-4*,R
18,11,3,,7,DEF 5,-6,25,PI 24,3,24,-8,R
19,9,B,3,9,10*,PI 4,15*,INT 37,PI 8,20,-10,R
20,8,3,9,8,9*,1,11,30,19*,23,-14,R
21,2,4,-6,9,12,15*,INT 13,INT 22,1,21,-12,R
22,OFF 5,2,DEF 5,6,13,3,OFF 15,INT 32,6*,24,-5,R
23,4,7,3*,9,OFF 15,9,INT 17,INT 26,2*,20,-7,R
24,1,1,-3,4,-2,4,QT,QT,QT,22,-6,R
25,5,9,4,2,QT,7,18,QT,14*,23,-5,R
26,-1,6,F +4,,14,INC,14,50,7*,20,-6,R
27,2,3,F +10,8,11*,INT 5,12,20*,4,20,-2,R
28,7,3,15,9,20,20,20,30,18*,21,-13,R
29,18*,18*,-6*,7,F +6,14,F +12,F +22,F +8,24,-8*,R
30,2,6,7*,8,-5,QT,INC,30*,INC,32,-6,R
31,F,,-2,11*,10*,8,INC,25,INC,21,-11,R
32,6,,12,1,-1,5,INC,INC,INC,32,-5,L
33,4,4,1,12,2,INC,INC,INC,INC,24,F -3,L
34,3,2,5*,,16,INC,INC,INC,INC,20,-9,L
35,1,5,3,,4,INC,INC,INC,INC,24,-10,L
36,3,3,8,13,INC,INC,INC,INC,INC,31,-5,L
37,,OFF 5,,7,12,2,INC,25,INC,23,-2,L
38,,DEF 5,-1*,9,20,F +2,QT,20,INC,23,-8,L
39,OFF 5,F +3,DEF 15,6,14,8,20,INC,INC,31,-5,L
