#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,1,1,,,3,,(14),,-5
A-2,A,2,1,,-2,,,(4),,,
A-3,A,3,1,,-1,(-1),(6),,,,
A-4,A,4,,2,,-1,1,,6,,
A-5,A,5,,,,,,,(16),,
B-1,B,1,,,-2,,5,,(18),,
B-2,B,2,,,-1,,,,(17),,
B-3,B,3,(-1),1,,(-1),(9),,,(35),
B-4,B,4,-1,,-1,-3,1,inc,(15),,(16)
B-5,B,5,,1,,-1,,inc,,,2
C-1,C,1,,1,,,,,,,
C-2,C,2,,,(-1),,,,(17),,
C-3,C,3,,,,(1),,INC,(16),,
C-4,C,4,-2,2,1,-3,-1,,,(41),(13)
C-5,C,5,-2,,1,-1,(9),,,(30),(25)
D-1,D,1,1,4,,,,,,,
D-2,D,2,1,2,,,1,,,,
D-3,D,3,1,2,(1),(-1),(7),,,3,
D-4,D,4,,,-2,-3,,(10),(15),,1
D-5,D,5,,1,-1,-1,,,,(40),(16)
E-1,E,1,2,4,,,(9),7,,-8,
E-2,E,2,2,3,,,,6,,-4,-2
E-3,E,3,,2,-1,-1,,5,,-1,
E-4,E,4,1,2,,-1,,,,INC,-1
E-5,E,5,1,1,,-1,,3,INC,,
F-1,F,1,1,1,,,,(15),6,,
F-2,F,2,,1,2,(-5),15,,,QT,6
F-3,F,3,(-2),(-2),,(16),(15),4,QT,(40),(14)
F-4,F,4,(20),(20),(-4),,,QT,,INC,
F-5,F,5,4,,(20),,,(20),(50),,QT
