#,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,Extra Point
10,61,25,DEF 5,5,21,OFF 5,1
11,58,DEF 15,DEF 15,9,22,OFF 15,1
12,63,OFF 15,OFF 5,2,24,33,1
13,42,25,32*,5,24,24,1
14,45,7,36*,9,7,14,1
15,70,12,41*,22,8,40,1
16,54,40,20*,9,OFF 15,BK -18,-4
17,56,23,OFF 15,DEF 15,DEF 15,DEF 5,1
18,54,25,53*,5,7,DEF 15,1
19,58,23,BK -12,5,5,3,1
20,63,60,31,10,24,31,0
21,64,25,38*,2,7,17,1
22,50,19,26,,22,38,1
23,43,22,34*,,,41,1
24,53,21,50,13,2,39,1
25,66,15,48,2,3,10,1
26,70,20,33,F,23,32,1
27,61,23,56,F,8,37,1
28,57,35,35,10,21,NG,1
29,54,25,58*,5,24,15,1
30,33,25,39*,24,7,28,1
31,52,25,42*,2,F +7,5,1
32,64,25,46,OFF 15,F +5,34,1
33,62,F +23,50*,-4,3,36,1
34,OB,17,39,,15,31,1
35,60,19,37,,5,NG,1
36,68,24,44*,,21,NG,1
37,55,25,22*,2,,9,1
38,51,25,40*,10,8,22,1
39,59,10,F -18,5,23,NG,1
